CREBBP	STAT1
CREBBP	CDH2
CREBBP	APP
CREBBP	CXCL8
CREBBP	CTNNB1
CREBBP	CTBP1
CREBBP	HTT
CREBBP	MAPK3
CREBBP	TP53
CREBBP	CDKN1A
CREBBP	CDH1
CREBBP	FGFR1
CREBBP	AR
CREBBP	EP300
CREBBP	IKBKB
CREBBP	AKT1
CREBBP	JUN
CREBBP	AGT
CREBBP	SRC
CREBBP	TNF
CREBBP	ESR1
CREBBP	PELP1
CREBBP	STAT5A
CREBBP	STAT3
CREBBP	EPO
CREBBP	
CREBBP	CSK
CREBBP	IL1B
CREBBP	SP1
CREBBP	CAMK2B
CREBBP	HIF1A
CREBBP	HSPA8
CREBBP	ACTB
PDGFD	INS
PDGFD	FLT4
PDGFD	EGFR
PDGFD	TGFA
PDGFD	PDGFB
PDGFD	IGF1
PDGFD	PDGFRA
PDGFD	PDGFA
PDGFD	PDGFRB
PDGFD	EGF
PDGFD	FGFR1
PDGFD	PDGFC
PDGFD	FLT1
PDGFD	ERBB2
CCND1	TSC2
PDGFD	KDR
CCND1	AKT1
CCND1	CDKN1B
CCND1	CASP3
CCND1	RASSF1
CCND1	ERBB2
CCND1	SRC
CCND1	KRAS
CCND1	STAT5A
CCND1	HIF1A
CCND1	ESR1
CCND1	RPS27A
CCND1	STAT3
CCND1	MAPK12
CCND1	NMI
CCND1	HSPA8
CCND1	BCL2L1
CCND1	PSMA7
CCND1	ACTB
CCND1	FOXO3
CCND1	STAT5B
CCND1	BCL6
CCND1	YWHAZ
CCND1	FOXO1
CCND1	FOS
CCND1	VEGFA
CCND1	PTEN
CCND1	LYN
CCND1	RALA
CCND1	EGFR
CCND1	FLNA
CCND1	MDM2
CCND1	TP53
CCND1	JAK2
CCND1	CDH2
CCND1	CTNNB1
CCND1	HRAS
CCND1	CREB1
CCND1	STAT1
CCND1	ABL1
CCND1	CREBBP
CCND1	RELA
CCND1	GAPDH
CCND1	CDKN1A
CCND1	JUN
CCND1	HSP90AA1
CCND1	AR
CCND1	MAPK3
CCND1	CTBP1
CCND1	CDH1
CCND1	EP300
ADRBK1	GNA11
CCND1	EGF
ADRBK1	PRKCA
ADRBK1	RALA
ADRBK1	GNA15
ADRBK1	GIT1
ADRBK1	CCL11
ADRBK1	ARRB2
ADRBK1	ARRB1
ADRBK1	PRKCD
ADRBK1	IRS1
ADRBK1	PRKCG
ADRBK1	AGT
ADRBK1	NTRK1
ADRBK1	AGTR1
ADRBK1	ADRB2
ADRBK1	GNG2
ADRBK1	HSP90AA1
ADRBK1	GNB1
ADRBK1	CHRM1
ADRBK1	TBXA2R
ADRBK1	CXCL12
ADRBK1	PEBP1
ADRBK1	CCL4
ADRBK1	EDN1
ADRBK1	RHO
ADRBK1	GNGT1
ADRBK1	PIK3CG
ADRBK1	PRKCB
ADRBK1	EGFR
TICAM2	IKBKB
ADRBK1	GNAQ
TICAM2	RPS27A
TICAM2	TLR4
TICAM2	PTPN11
TICAM2	RIPK1
TICAM2	TRAF6
TICAM2	TRAF3
TICAM2	
TICAM2	TBK1
TICAM2	TANK
TICAM2	CHUK
TICAM2	TAB2
TICAM2	MAP3K7
IL12RB1	JAK3
IL12RB1	IL2
IL12RB1	LCK
IL12RB1	IL3
IL12RB1	STAT5A
IL12RB1	SOCS3
IL12RB1	SOCS1
IL12RB1	PIK3R1
IL12RB1	PIK3CA
IL12RB1	NFKBIA
IL12RB1	CD4
IL12RB1	JAK2
IL12RB1	NFKB1
IL12RB1	RELA
IL12RB1	IL6
IL12RB1	CSF2
IL12RB1	STAT3
IL12RB1	STAT1
NR3C1	MAPK8
IL12RB1	JAK1
NR3C1	JUN
NR3C1	CAPZA2
NR3C1	AR
NR3C1	EP300
NR3C1	HSP90AA1
NR3C1	PIK3R1
NR3C1	CAPZA1
NR3C1	PRKACB
NR3C1	RELA
NR3C1	DYNC1LI2
NR3C1	DCTN2
NR3C1	STAT1
NR3C1	MAPK3
NR3C1	DCTN6
NR3C1	EGFR
NR3C1	TP53
NR3C1	MAPK14
NR3C1	MAPK10
NR3C1	CREB1
NR3C1	CREBBP
NR3C1	DYNLL2
NR3C1	DYNC1I1
NR3C1	SFN
NR3C1	NFKB1
NR3C1	FOS
NR3C1	YWHAH
NR3C1	FOXO3
NR3C1	FOXO1
NR3C1	HSP90AB1
NR3C1	STAT5B
NR3C1	MAPK1
